# E (eV)  dos(E)    pdos(E)
 -10.000  0.969E+00  0.930E+00
  -9.900  0.108E+01  0.103E+01
  -9.800  0.903E+00  0.871E+00
  -9.700  0.750E+00  0.726E+00
  -9.600  0.691E+00  0.671E+00
  -9.500  0.651E+00  0.634E+00
  -9.400  0.630E+00  0.616E+00
  -9.300  0.618E+00  0.605E+00
  -9.200  0.621E+00  0.609E+00
  -9.100  0.628E+00  0.617E+00
  -9.000  0.688E+00  0.678E+00
  -8.900  0.851E+00  0.841E+00
  -8.800  0.105E+01  0.104E+01
  -8.700  0.992E+00  0.982E+00
  -8.600  0.770E+00  0.762E+00
  -8.500  0.646E+00  0.639E+00
  -8.400  0.596E+00  0.590E+00
  -8.300  0.559E+00  0.553E+00
  -8.200  0.543E+00  0.537E+00
  -8.100  0.522E+00  0.517E+00
  -8.000  0.509E+00  0.504E+00
  -7.900  0.502E+00  0.497E+00
  -7.800  0.487E+00  0.483E+00
  -7.700  0.486E+00  0.482E+00
  -7.600  0.475E+00  0.472E+00
  -7.500  0.474E+00  0.470E+00
  -7.400  0.469E+00  0.466E+00
  -7.300  0.466E+00  0.463E+00
  -7.200  0.466E+00  0.463E+00
  -7.100  0.465E+00  0.462E+00
  -7.000  0.464E+00  0.462E+00
  -6.900  0.468E+00  0.465E+00
  -6.800  0.467E+00  0.464E+00
  -6.700  0.475E+00  0.473E+00
  -6.600  0.475E+00  0.472E+00
  -6.500  0.487E+00  0.485E+00
  -6.400  0.489E+00  0.487E+00
  -6.300  0.507E+00  0.505E+00
  -6.200  0.514E+00  0.512E+00
  -6.100  0.537E+00  0.535E+00
  -6.000  0.556E+00  0.554E+00
  -5.900  0.591E+00  0.589E+00
  -5.800  0.633E+00  0.631E+00
  -5.700  0.706E+00  0.704E+00
  -5.600  0.851E+00  0.848E+00
  -5.500  0.111E+01  0.110E+01
  -5.400  0.117E+01  0.117E+01
  -5.300  0.687E+00  0.685E+00
  -5.200  0.271E+00  0.270E+00
  -5.100  0.164E+00  0.164E+00
  -5.000  0.176E+00  0.175E+00
  -4.900  0.233E+00  0.232E+00
  -4.800  0.459E+00  0.458E+00
  -4.700  0.794E+00  0.792E+00
  -4.600  0.806E+00  0.804E+00
  -4.500  0.610E+00  0.608E+00
  -4.400  0.468E+00  0.466E+00
  -4.300  0.407E+00  0.406E+00
  -4.200  0.364E+00  0.364E+00
  -4.100  0.336E+00  0.336E+00
  -4.000  0.318E+00  0.318E+00
  -3.900  0.296E+00  0.295E+00
  -3.800  0.289E+00  0.288E+00
  -3.700  0.271E+00  0.270E+00
  -3.600  0.267E+00  0.266E+00
  -3.500  0.255E+00  0.254E+00
  -3.400  0.250E+00  0.249E+00
  -3.300  0.244E+00  0.243E+00
  -3.200  0.237E+00  0.236E+00
  -3.100  0.235E+00  0.234E+00
  -3.000  0.227E+00  0.226E+00
  -2.900  0.227E+00  0.226E+00
  -2.800  0.220E+00  0.219E+00
  -2.700  0.221E+00  0.220E+00
  -2.600  0.216E+00  0.214E+00
  -2.500  0.216E+00  0.215E+00
  -2.400  0.213E+00  0.212E+00
  -2.300  0.215E+00  0.213E+00
  -2.200  0.216E+00  0.215E+00
  -2.100  0.221E+00  0.219E+00
  -2.000  0.224E+00  0.223E+00
  -1.900  0.231E+00  0.229E+00
  -1.800  0.236E+00  0.234E+00
  -1.700  0.246E+00  0.244E+00
  -1.600  0.255E+00  0.252E+00
  -1.500  0.271E+00  0.268E+00
  -1.400  0.284E+00  0.280E+00
  -1.300  0.311E+00  0.306E+00
  -1.200  0.335E+00  0.329E+00
  -1.100  0.385E+00  0.377E+00
  -1.000  0.451E+00  0.440E+00
  -0.900  0.600E+00  0.582E+00
  -0.800  0.932E+00  0.896E+00
  -0.700  0.130E+01  0.124E+01
  -0.600  0.105E+01  0.100E+01
  -0.500  0.446E+00  0.426E+00
  -0.400  0.199E+00  0.191E+00
  -0.300  0.146E+00  0.140E+00
  -0.200  0.135E+00  0.130E+00
  -0.100  0.133E+00  0.128E+00
   0.000  0.118E+00  0.113E+00
   0.100  0.124E+00  0.119E+00
   0.200  0.116E+00  0.111E+00
   0.300  0.109E+00  0.105E+00
   0.400  0.120E+00  0.116E+00
   0.500  0.993E-01  0.951E-01
   0.600  0.125E+00  0.110E+00
   0.700  0.220E+00  0.102E+00
   0.800  0.555E+00  0.980E-01
   0.900  0.862E+00  0.116E+00
   1.000  0.751E+00  0.992E-01
   1.100  0.582E+00  0.108E+00
   1.200  0.488E+00  0.109E+00
   1.300  0.450E+00  0.982E-01
   1.400  0.608E+00  0.111E+00
   1.500  0.107E+01  0.112E+00
   1.600  0.156E+01  0.112E+00
   1.700  0.167E+01  0.114E+00
   1.800  0.140E+01  0.108E+00
   1.900  0.114E+01  0.104E+00
   2.000  0.995E+00  0.105E+00
   2.100  0.907E+00  0.105E+00
   2.200  0.837E+00  0.979E-01
   2.300  0.792E+00  0.102E+00
   2.400  0.764E+00  0.104E+00
   2.500  0.808E+00  0.932E-01
   2.600  0.111E+01  0.108E+00
   2.700  0.141E+01  0.112E+00
   2.800  0.130E+01  0.956E-01
   2.900  0.117E+01  0.110E+00
   3.000  0.130E+01  0.104E+00
   3.100  0.159E+01  0.876E-01
   3.200  0.161E+01  0.111E+00
   3.300  0.137E+01  0.987E-01
   3.400  0.120E+01  0.844E-01
   3.500  0.114E+01  0.113E+00
   3.600  0.106E+01  0.928E-01
   3.700  0.101E+01  0.876E-01
   3.800  0.101E+01  0.118E+00
   3.900  0.944E+00  0.912E-01
   4.000  0.870E+00  0.709E-01
   4.100  0.811E+00  0.764E-01
   4.200  0.822E+00  0.735E-01
   4.300  0.845E+00  0.928E-01
   4.400  0.871E+00  0.120E+00
   4.500  0.832E+00  0.963E-01
   4.600  0.866E+00  0.938E-01
   4.700  0.111E+01  0.101E+00
   4.800  0.138E+01  0.685E-01
   4.900  0.144E+01  0.100E+00
   5.000  0.148E+01  0.288E+00
   5.100  0.180E+01  0.678E+00
   5.200  0.204E+01  0.937E+00
   5.300  0.190E+01  0.762E+00
   5.400  0.204E+01  0.596E+00
   5.500  0.229E+01  0.608E+00
   5.600  0.206E+01  0.537E+00
   5.700  0.176E+01  0.469E+00
   5.800  0.181E+01  0.573E+00
   5.900  0.197E+01  0.779E+00
   6.000  0.237E+01  0.122E+01
   6.100  0.254E+01  0.148E+01
   6.200  0.211E+01  0.110E+01
   6.300  0.161E+01  0.633E+00
   6.400  0.140E+01  0.440E+00
   6.500  0.131E+01  0.370E+00
   6.600  0.113E+01  0.316E+00
   6.700  0.105E+01  0.250E+00
   6.800  0.929E+00  0.172E+00
   6.900  0.806E+00  0.129E+00
   7.000  0.854E+00  0.124E+00
   7.100  0.833E+00  0.125E+00
   7.200  0.752E+00  0.127E+00
   7.300  0.836E+00  0.128E+00
   7.400  0.795E+00  0.129E+00
   7.500  0.735E+00  0.128E+00
   7.600  0.805E+00  0.128E+00
   7.700  0.766E+00  0.127E+00
   7.800  0.741E+00  0.125E+00
   7.900  0.763E+00  0.125E+00
   8.000  0.754E+00  0.123E+00
   8.100  0.813E+00  0.121E+00
   8.200  0.979E+00  0.121E+00
   8.300  0.148E+01  0.119E+00
   8.400  0.163E+01  0.120E+00
   8.500  0.123E+01  0.117E+00
   8.600  0.108E+01  0.118E+00
   8.700  0.133E+01  0.120E+00
   8.800  0.170E+01  0.124E+00
   8.900  0.206E+01  0.128E+00
   9.000  0.213E+01  0.129E+00
   9.100  0.185E+01  0.128E+00
   9.200  0.166E+01  0.125E+00
   9.300  0.165E+01  0.130E+00
   9.400  0.187E+01  0.132E+00
   9.500  0.231E+01  0.140E+00
   9.600  0.237E+01  0.140E+00
   9.700  0.217E+01  0.136E+00
   9.800  0.229E+01  0.132E+00
   9.900  0.277E+01  0.139E+00
  10.000  0.284E+01  0.146E+00
  10.100  0.245E+01  0.152E+00
