feature,importance_mean,importance_std
bot_ang_gap_std,0.10554298530625894,0.004930818245465368
raw_type_pair_code,0.09419150250393714,0.010961560851387874
top_dist_3,0.09088147123747685,0.008119578741939483
raw_bot_type,0.0748725998643201,0.005900481915249398
top_z_std_5nn,0.055376206720666565,0.006254626200992771
z_bot,0.04406878090025958,0.003473935513339871
raw_dz,0.04179360378927986,0.004659769394888241
topA_dz_mean_3nn,0.03803608461975586,0.006181871649385884
topB_dz_mean_3nn,0.03772635121514983,0.002879737881281828
top_zminus_bot_mean,0.03726887254764124,0.0020393078403729997
top_z_mean_5nn,0.03315024955107555,0.003921989049107462
topA_z_mean_3nn,0.03276256825938299,0.002323719442540585
top_dist_2to5_std,0.028431002964673914,0.00041915622496704603
topB_z_mean_3nn,0.02457009763925842,0.0016174553718370488
topB_d_mean_3nn,0.023766138756866114,0.000632752005057144
topA_d_mean_3nn,0.023662507332080657,0.001181467591347513
raw_dist_xy,0.022141035626809476,0.000669333219853689
top_count_R1.5,0.020703298522660774,0.0008965763958464583
top_dist_2to5_mean,0.0206804632954839,0.0025713345397317434
bot_nn6_mean,0.020538241250018057,0.00527209201382189
bot_nn6_std,0.019123156903301852,0.003763301128505546
bot_nn3_mean,0.016886841605561337,0.000995427081824641
top_dist_5,0.012073528104138012,0.0028062932985115593
bot_nn1,0.010486260800909713,0.0007839921028862728
bot_strain,0.010137762562216046,0.0011693539173392427
top_dist_2,0.010053811249572518,0.0005120154241307272
top_count_A_R2.5,0.009092658066039429,0.0026073616692839207
raw_sector6,0.00891677025960511,0.004251458831725252
top_dist_4,0.0076209210801995286,0.0006921217201013224
top_count_B_R2.5,0.007528888035648872,0.001960697170155174
raw_dx,0.007082647848346842,0.0028191793813964754
top_count_R2.0,0.0034731995920533245,0.0005303948274793785
top_count_R2.5,0.002132091818171226,0.0004632864513364526
top_count_R1.0,0.002124360803034481,0.0004283786302689107
raw_dy,0.0019467048091287294,0.0002288724565810304
bot_count_B_R2.5,0.0006673638378410892,0.00014799147513155252
bot_count_A_R2.5,0.0004889707211760958,0.0001413166899744589
