feature,importance_mean,importance_std
bot_ang_gap_std,0.1920446004323632,0.0026751446367041156
z_bot,0.07742380584668059,0.004302379567245145
top_dist_3,0.07306194670075002,0.0017189297509235975
top_z_std_5nn,0.06166163912200413,0.0027041500047531785
topB_dz_mean_3nn,0.052683490250331345,0.004550178644816145
top_zminus_bot_mean,0.050786400420230325,0.0013136360045837717
top_z_mean_5nn,0.04939913796468015,0.0030992084775963284
topA_z_mean_3nn,0.048337881571784,0.002691966788150273
topA_dz_mean_3nn,0.048064479292786115,0.004110753766575365
topB_z_mean_3nn,0.03733621648642587,0.0026147729452813276
topA_d_mean_3nn,0.029234127462541403,0.0017112350312896778
top_dist_2to5_std,0.028127788591635484,0.0009965203956283292
topB_d_mean_3nn,0.02710854176512765,0.0006024333100982103
bot_nn6_mean,0.022631629198857153,0.0005636328188858582
bot_nn3_mean,0.022602655564010633,0.0009567900507123603
top_dist_2to5_mean,0.021715729843112343,0.0020201151174458736
bot_nn6_std,0.020611462043153315,0.0010823960050270931
top_count_A_R2.5,0.017753975931018556,0.0025203286950634535
top_count_B_R2.5,0.016930481971133185,0.0021879275124104987
top_dist_5,0.016626296324885124,0.001245666330281289
top_count_R1.5,0.015374469687151915,0.001179090684620118
bot_strain,0.014458844467071633,0.0007672996036483228
bot_nn1,0.014314673450145764,0.001083650517648816
top_dist_2,0.014292825898033091,0.000362535619130112
top_dist_4,0.012475905189322579,0.0007821587087703957
top_count_R2.0,0.005674839570867786,0.0009336452196368023
top_count_R1.0,0.003964678841178196,0.0003538119618253227
top_count_R2.5,0.0032281048468556298,0.00013475361449872015
bot_count_B_R2.5,0.001283753310975312,0.00017287257430015696
bot_count_A_R2.5,0.0007896179548875223,0.00010834156856321711
