feature,importance_mean,importance_std
bot_ang_gap_std,0.19599986697635552,0.005692416712452455
z_bot,0.07713119633084098,0.004014761142507491
top_dist_3,0.07161677529206473,0.01094366916619322
top_z_std_5nn,0.05775535733882712,0.005322848732805709
topB_dz_mean_3nn,0.05586571528647964,0.00710984889438983
top_zminus_bot_mean,0.050231894557027465,0.003359065090371526
topA_dz_mean_3nn,0.048905453111128115,0.0055808757193335804
topA_z_mean_3nn,0.048106325064782976,0.0020719493309313253
top_z_mean_5nn,0.04714300147877312,0.00458391697213034
topB_z_mean_3nn,0.03693241578668738,0.0016412406715395464
topA_d_mean_3nn,0.028507397097778178,0.001191744074931831
top_dist_2to5_std,0.025624493981835434,0.0026927329119716256
topB_d_mean_3nn,0.025127126935468484,0.0014284402450038837
bot_nn6_mean,0.02372513963199668,0.003298603039101329
top_dist_2to5_mean,0.02318350786979685,0.0010593732701328854
bot_nn6_std,0.022443635868725005,0.0038507934092409223
bot_nn3_mean,0.021884175790189572,0.0012605452734555773
top_count_A_R2.5,0.019944019031561542,0.004565379567395419
top_dist_5,0.018312081494031653,0.00183191392845132
top_count_B_R2.5,0.015685532438444623,0.004342583351269399
top_count_R1.5,0.015429433546593952,0.0024493188677011954
bot_nn1,0.015312258795741274,0.0010142543855283731
bot_strain,0.014666601690728413,0.001194688822009695
top_dist_4,0.013475749606919728,0.0008951012990927273
top_dist_2,0.012515528708042758,0.0008392320126458628
top_count_R2.0,0.005761112307646184,0.0015368034420217256
top_count_R1.0,0.0035771591191741097,0.0008907892771001693
top_count_R2.5,0.0028378057158175143,0.0005692022710198636
bot_count_B_R2.5,0.0014993911156953098,0.0004068532525104796
bot_count_A_R2.5,0.0007998480308456805,0.00027840645643027663
