feature,importance_mean,importance_std
bot_ang_gap_std,0.25341597668905547,0.014115469095997698
z_bot,0.1127568300405665,0.008870645668947541
top_z_mean_5nn,0.0911182596836846,0.0053460253278550685
top_zminus_bot_mean,0.08911319670149984,0.005963353340426116
top_dist_3,0.07799451544213777,0.0072600413375516
top_z_std_5nn,0.07484637529004273,0.004501783351434856
bot_nn3_mean,0.04012966251373311,0.0019488931140560078
top_dist_2to5_std,0.037138371416449795,0.003545573549274255
top_dist_2to5_mean,0.03267615790287195,0.002790179405875057
bot_nn6_mean,0.03116751633475692,0.0062794716543935775
bot_nn6_std,0.025604437859159158,0.005406040609370818
top_dist_5,0.023588797120078102,0.002638526870341638
bot_strain,0.021547663422492525,0.0026854974294088854
bot_nn1,0.020100327700551417,0.001958204966694917
top_dist_2,0.018171325500075393,0.0005532641141129
top_count_R1.5,0.017491321501085212,0.002350515798810573
top_dist_4,0.016638767405052615,0.0013543555444504942
top_count_R2.0,0.007605604162880307,0.0009465851615793717
top_count_R1.0,0.0053621797289588975,0.0010509682052915173
top_count_R2.5,0.003532713584867719,0.0005594028543887707
