feature,importance
bot_ang_gap_std,0.10410573318185186
top_dist_3,0.09273916373679239
raw_type_pair_code,0.09066417489756855
raw_bot_type,0.07633253927942292
top_z_std_5nn,0.059934300064664034
z_bot,0.04695496287346643
raw_dz,0.04098740964398103
topB_dz_mean_3nn,0.038874649447426905
topA_dz_mean_3nn,0.037936327121311696
top_zminus_bot_mean,0.035239416985827714
topA_z_mean_3nn,0.0340901859944158
top_z_mean_5nn,0.03329487322743912
top_dist_2to5_std,0.030182313537992507
topB_z_mean_3nn,0.02493725207032447
raw_dist_xy,0.024284209454948646
topB_d_mean_3nn,0.02364031256931091
topA_d_mean_3nn,0.02355407249828397
top_count_R1.5,0.02073109799217911
top_dist_2to5_mean,0.020295246811239585
bot_nn6_mean,0.01992455210043121
bot_nn3_mean,0.01932516688651833
bot_nn6_std,0.016292376923577125
top_dist_5,0.011077196729453334
bot_nn1,0.01049723094657833
top_dist_2,0.010171815336500106
bot_strain,0.010047952995553996
top_count_A_R2.5,0.009590798884668551
top_count_B_R2.5,0.007685423841378604
top_dist_4,0.007645184647604011
raw_sector6,0.005166791888401563
raw_dx,0.003948234546653077
top_count_R2.0,0.0031980645936570107
top_count_R1.0,0.0024884833557543657
top_count_R2.5,0.0019616017413627783
raw_dy,0.0010351649144562957
bot_count_B_R2.5,0.000653076510760157
bot_count_A_R2.5,0.000512641768243534
