feature,importance
bot_ang_gap_std,0.10554298530625894
raw_type_pair_code,0.09419150250393714
top_dist_3,0.09088147123747685
raw_bot_type,0.0748725998643201
top_z_std_5nn,0.055376206720666565
z_bot,0.04406878090025958
raw_dz,0.04179360378927986
topA_dz_mean_3nn,0.03803608461975586
topB_dz_mean_3nn,0.03772635121514983
top_zminus_bot_mean,0.03726887254764124
top_z_mean_5nn,0.03315024955107555
topA_z_mean_3nn,0.03276256825938299
top_dist_2to5_std,0.028431002964673914
topB_z_mean_3nn,0.02457009763925842
topB_d_mean_3nn,0.023766138756866114
topA_d_mean_3nn,0.023662507332080657
raw_dist_xy,0.022141035626809476
top_count_R1.5,0.020703298522660774
top_dist_2to5_mean,0.0206804632954839
bot_nn6_mean,0.020538241250018057
bot_nn6_std,0.019123156903301852
bot_nn3_mean,0.016886841605561337
top_dist_5,0.012073528104138012
bot_nn1,0.010486260800909713
bot_strain,0.010137762562216046
top_dist_2,0.010053811249572518
top_count_A_R2.5,0.009092658066039429
raw_sector6,0.00891677025960511
top_dist_4,0.0076209210801995286
top_count_B_R2.5,0.007528888035648872
raw_dx,0.007082647848346842
top_count_R2.0,0.0034731995920533245
top_count_R2.5,0.002132091818171226
top_count_R1.0,0.002124360803034481
raw_dy,0.0019467048091287294
bot_count_B_R2.5,0.0006673638378410892
bot_count_A_R2.5,0.0004889707211760958
