feature,importance
bot_ang_gap_std,0.1920446004323632
z_bot,0.07742380584668059
top_dist_3,0.07306194670075002
top_z_std_5nn,0.06166163912200413
topB_dz_mean_3nn,0.052683490250331345
top_zminus_bot_mean,0.050786400420230325
top_z_mean_5nn,0.04939913796468015
topA_z_mean_3nn,0.048337881571784
topA_dz_mean_3nn,0.048064479292786115
topB_z_mean_3nn,0.03733621648642587
topA_d_mean_3nn,0.029234127462541403
top_dist_2to5_std,0.028127788591635484
topB_d_mean_3nn,0.02710854176512765
bot_nn6_mean,0.022631629198857153
bot_nn3_mean,0.022602655564010633
top_dist_2to5_mean,0.021715729843112343
bot_nn6_std,0.020611462043153315
top_count_A_R2.5,0.017753975931018556
top_count_B_R2.5,0.016930481971133185
top_dist_5,0.016626296324885124
top_count_R1.5,0.015374469687151915
bot_strain,0.014458844467071633
bot_nn1,0.014314673450145764
top_dist_2,0.014292825898033091
top_dist_4,0.012475905189322579
top_count_R2.0,0.005674839570867786
top_count_R1.0,0.003964678841178196
top_count_R2.5,0.0032281048468556298
bot_count_B_R2.5,0.001283753310975312
bot_count_A_R2.5,0.0007896179548875223
