feature,importance
bot_ang_gap_std,0.19599986697635552
z_bot,0.07713119633084098
top_dist_3,0.07161677529206473
top_z_std_5nn,0.05775535733882712
topB_dz_mean_3nn,0.05586571528647964
top_zminus_bot_mean,0.050231894557027465
topA_dz_mean_3nn,0.048905453111128115
topA_z_mean_3nn,0.048106325064782976
top_z_mean_5nn,0.04714300147877312
topB_z_mean_3nn,0.03693241578668738
topA_d_mean_3nn,0.028507397097778178
top_dist_2to5_std,0.025624493981835434
topB_d_mean_3nn,0.025127126935468484
bot_nn6_mean,0.02372513963199668
top_dist_2to5_mean,0.02318350786979685
bot_nn6_std,0.022443635868725005
bot_nn3_mean,0.021884175790189572
top_count_A_R2.5,0.019944019031561542
top_dist_5,0.018312081494031653
top_count_B_R2.5,0.015685532438444623
top_count_R1.5,0.015429433546593952
bot_nn1,0.015312258795741274
bot_strain,0.014666601690728413
top_dist_4,0.013475749606919728
top_dist_2,0.012515528708042758
top_count_R2.0,0.005761112307646184
top_count_R1.0,0.0035771591191741097
top_count_R2.5,0.0028378057158175143
bot_count_B_R2.5,0.0014993911156953098
bot_count_A_R2.5,0.0007998480308456805
