feature,importance
bot_ang_gap_std,0.2484837255296982
z_bot,0.11332618435669764
top_z_mean_5nn,0.09040106506478125
top_zminus_bot_mean,0.08624324186167043
top_dist_3,0.07977345949224961
top_z_std_5nn,0.07761001631293209
top_dist_2to5_std,0.040155972695645775
bot_nn3_mean,0.04005345750034821
top_dist_2to5_mean,0.035781284654798996
bot_nn6_mean,0.028305501138864063
bot_nn6_std,0.025269752371852344
top_dist_5,0.02460789374951456
top_count_R1.5,0.019598518601999168
bot_strain,0.019467320421129967
bot_nn1,0.01944174048257995
top_dist_2,0.018605816292986462
top_dist_4,0.016028994582743886
top_count_R2.0,0.0075160382184937865
top_count_R1.0,0.005436454346502692
top_count_R2.5,0.0038935623245108728
