feature,importance
bot_ang_gap_std,0.25341597668905547
z_bot,0.1127568300405665
top_z_mean_5nn,0.0911182596836846
top_zminus_bot_mean,0.08911319670149984
top_dist_3,0.07799451544213777
top_z_std_5nn,0.07484637529004273
bot_nn3_mean,0.04012966251373311
top_dist_2to5_std,0.037138371416449795
top_dist_2to5_mean,0.03267615790287195
bot_nn6_mean,0.03116751633475692
bot_nn6_std,0.025604437859159158
top_dist_5,0.023588797120078102
bot_strain,0.021547663422492525
bot_nn1,0.020100327700551417
top_dist_2,0.018171325500075393
top_count_R1.5,0.017491321501085212
top_dist_4,0.016638767405052615
top_count_R2.0,0.007605604162880307
top_count_R1.0,0.0053621797289588975
top_count_R2.5,0.003532713584867719
